epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,245.626,1.94126,4.00019,1.71851,0.2621,0.17749,0.13282,0.05148,2.1609,5.37458,1.40385,0.000366703,0.000366703,0.000366703
2,465.096,1.94642,3.20161,1.79068,0.28437,0.2684,0.18873,0.08166,2.30041,5.55587,1.5116,0.000722443,0.000722443,0.000722443
3,682.876,1.97055,3.06276,1.77407,0.26748,0.28571,0.21424,0.09606,2.30789,4.95344,1.56584,0.00106352,0.00106352,0.00106352
4,901.666,1.98925,2.9293,1.86007,0.47085,0.43143,0.39333,0.1789,2.10359,3.53728,1.41093,0.00104501,0.00104501,0.00104501
5,1119.92,1.99151,2.80909,1.80101,0.52424,0.36364,0.37085,0.15415,2.25618,2.92148,1.46069,0.00102301,0.00102301,0.00102301
6,1337.43,1.9558,2.70857,1.79667,0.44707,0.39827,0.35845,0.13067,2.27873,3.25041,1.56681,0.00100101,0.00100101,0.00100101
7,1555.81,1.9404,2.61643,1.78288,0.70771,0.35065,0.44278,0.17908,2.13853,2.34302,1.42746,0.000979013,0.000979013,0.000979013
8,1775.62,1.88293,2.54878,1.74391,0.41817,0.4329,0.35585,0.1388,2.10702,2.72334,1.43284,0.000957015,0.000957015,0.000957015
9,1991.32,1.84663,2.39088,1.74337,0.5861,0.42424,0.4147,0.16038,2.26401,2.50081,1.45742,0.000935018,0.000935018,0.000935018
10,2196.78,1.78557,2.31426,1.66277,0.51329,0.42424,0.48259,0.19003,2.02949,2.41786,1.41184,0.00091302,0.00091302,0.00091302
11,2402.12,1.84261,2.34137,1.70474,0.60662,0.47399,0.50264,0.18762,2.06629,2.11396,1.36954,0.000891022,0.000891022,0.000891022
12,2607.91,1.79671,2.26656,1.68112,0.6243,0.44156,0.48736,0.20192,2.04559,2.02195,1.35672,0.000869024,0.000869024,0.000869024
13,2814.26,1.79971,2.22924,1.67551,0.56284,0.44589,0.44064,0.17313,2.17802,2.18033,1.43106,0.000847026,0.000847026,0.000847026
14,3027.28,1.781,2.23754,1.65062,0.56387,0.42537,0.40352,0.16659,2.19854,2.17559,1.38706,0.000825029,0.000825029,0.000825029
15,3247.53,1.78775,2.1806,1.63532,0.58103,0.50429,0.49965,0.22419,2.05019,1.7808,1.32608,0.000803031,0.000803031,0.000803031
16,3468.36,1.74003,2.12623,1.6033,0.56625,0.47619,0.4793,0.19299,2.1249,2.02161,1.39847,0.000781033,0.000781033,0.000781033
17,3680.1,1.74873,2.09695,1.64779,0.6007,0.45455,0.4881,0.18285,2.14799,2.19637,1.42035,0.000759035,0.000759035,0.000759035
18,3900.69,1.74955,2.06669,1.62432,0.65043,0.49351,0.52282,0.23502,1.90489,1.9435,1.32282,0.000737037,0.000737037,0.000737037
19,4125.06,1.72953,2.06296,1.63293,0.65311,0.48485,0.54767,0.22153,2.02123,1.8724,1.3805,0.00071504,0.00071504,0.00071504
20,4337.25,1.74411,1.97185,1.6103,0.53247,0.47331,0.4788,0.19039,2.22594,1.88732,1.44331,0.000693042,0.000693042,0.000693042
21,4548.96,1.73641,2.00076,1.5986,0.66014,0.49611,0.52361,0.2145,2.1918,1.74905,1.44197,0.000671044,0.000671044,0.000671044
22,4762.14,1.70264,1.94845,1.60002,0.62125,0.51515,0.52143,0.21683,2.17846,1.99127,1.40837,0.000649046,0.000649046,0.000649046
23,4981.27,1.68414,1.95466,1.58643,0.64061,0.49784,0.529,0.22047,2.11829,1.82975,1.39651,0.000627048,0.000627048,0.000627048
