epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,492.989,1.87923,3.05582,1.67834,0.33854,0.22235,0.23606,0.08729,2.06253,3.612,1.98567,0.000660194,0.000660194,0.000660194
2,983.995,1.97564,2.39604,1.77098,0.49666,0.28948,0.30978,0.12955,2.23333,3.99984,2.32379,0.0011955,0.0011955,0.0011955
3,1469.29,1.94718,2.08796,1.80016,0.50619,0.39379,0.40134,0.17316,2.0704,2.32112,2.09417,0.00159881,0.00159881,0.00159881
4,1959.09,1.90724,1.81969,1.74394,0.37195,0.37485,0.35118,0.1297,2.23854,2.19339,2.06278,0.001406,0.001406,0.001406
5,2448.71,1.8579,1.69227,1.7147,0.70484,0.59492,0.68055,0.33418,1.78277,1.57285,1.71919,0.001208,0.001208,0.001208
6,2939.22,1.78615,1.5407,1.64402,0.6514,0.56927,0.63073,0.30516,1.82853,1.68653,1.72187,0.00101,0.00101,0.00101
7,3428.01,1.71557,1.44763,1.59197,0.78707,0.65891,0.74651,0.38195,1.68939,1.34407,1.61199,0.000812,0.000812,0.000812
8,3914.69,1.69046,1.35555,1.57149,0.77287,0.66946,0.75038,0.39231,1.65498,1.2807,1.58102,0.000614,0.000614,0.000614
9,4401.37,1.63875,1.28886,1.53233,0.80969,0.6835,0.78584,0.42982,1.57719,1.22202,1.55734,0.000416,0.000416,0.000416
10,4913.8,1.56514,1.21531,1.48333,0.77293,0.73458,0.79838,0.44987,1.55065,1.16114,1.51928,0.000218,0.000218,0.000218
